source,target
887,6213
887,6215
887,64519
887,87363
887,976334
936,1107010
936,1111899
936,129558
936,1956
936,207395
936,3084
936,3828
936,38845
940,20180
940,28265
940,3828
941,129558
941,20180
941,28265
941,3828
941,940
943,1152896
943,3828
943,91852
1026,1034
1026,1102550
1026,1105231
1026,1129798
1026,1153945
1033,1034
1033,1107062
1034,1153945
1035,1034
1035,1107062
1035,1110515
1237,102938
1237,1102400
1237,1106112
1237,143676
1246,1102400
1246,1104007
1246,42207
1246,57764
1246,6125
1481,1102567
1481,1106052
1481,1108267
1481,1111614
1481,1117184
1481,1120563
1481,1153891
1481,13960
1481,399173
1481,4878
1481,521207
1481,521269
1688,1103985
1688,1131360
1688,1133338
1688,1134022
1688,1136814
1688,1153065
1688,152483
1688,1694
1688,39474
1688,44368
1688,576725
1688,647413
1688,69284
1688,694759
1688,84021
1694,39474
1817,1114502
1919,1108389
1919,1109581
1949,129042
1949,3101
1951,3095
1952,1107215
1952,1111899
1952,1949
1952,3101
1953,1153166
1953,1153724
1953,1153728
1953,1949
1955,110163
1955,1110390
1955,1125386
1955,1956
1956,101143
1956,1111899
1956,1118302
1956,1817
1956,263486
1956,83449
1959,101143
1959,1152896
1959,1153728
1959,170798
1959,207395
1959,3097
1959,310530
1959,38839
1959,73327
1959,82664
2354,10186
2354,1107140
2354,1113852
2354,1130539
2354,154134
2354,74749
2702,1120777
2702,12330
2702,395553
2702,72056
3084,1107171
3084,255233
3084,33303
3085,15889
3085,221302
3085,30973
3085,395725
3085,5062
3085,83449
3095,110162
3095,110163
3095,218682
3095,83449
3097,1106236
3097,129045
3097,1949
3097,1952
3097,3101
3101,110162
3101,110163
3101,110164
3101,70441
3112,103529
3112,110163
3112,110164
3112,1152564
3112,1949
3112,470511
3112,77826
3112,77829
3828,1152896
3828,1956
3828,207395
3828,310530
3932,5075
4329,105899
4329,1110768
4329,1111304
4329,28254
4329,395547
4329,510718
4584,1031453
4584,1102550
4584,1113739
4584,1116347
4584,1120020
4584,1130567
4584,1130600
4584,124064
4584,128
4584,132806
4584,13917
4584,168410
4584,188471
4584,193742
4584,28278
4584,28287
4584,293285
4584,36167
4584,6151
4584,6155
4584,6184
4584,6196
4584,6210
4584,6213
4584,6214
4584,628500
4584,628815
4584,782486
4584,976334
4637,164
4660,429781
4660,5038
4804,102884
4804,1108175
4804,1112574
4804,1153262
4804,12182
4804,12210
4804,157761
4804,164
4804,25805
4804,45189
4804,68505
4804,77515
4804,976284
4804,989397
4878,1102567
4983,7867
5062,1120563
5062,28026
5062,5064
5062,5069
5062,521207
5064,1120563
5064,1121176
5064,1129106
5064,272345
5064,28026
5064,385067
5064,5069
5069,1120563
5069,385067
5069,5064
5075,1120563
5075,5064
5075,5069
5194,1152714
5194,133550
5194,133566
5194,140569
5600,1022969
5600,1117833
5600,255233
5600,33303
5600,77826
6125,1107572
6125,12211
6125,27612
6125,28641
6125,385251
6151,1106547
6151,1107355
6151,1130567
6151,1385
6151,193742
6151,6152
6151,6155
6151,6213
6151,6214
6152,299195
6155,1126029
6163,1106966
6163,1111052
6163,1113739
6163,130
6163,134128
6163,20534
6163,28202
6163,96847
6169,1106406
6169,1114629
6169,1130567
6169,170338
6169,20526
6169,7419
6184,10981
6184,1105718
6184,1120731
6184,1136422
6184,13686
6184,27631
6184,399339
6196,1120731
6196,1153056
6196,28387
6196,58540
6196,81350
6196,976334
6209,1108329
6209,118259
6209,118260
6209,168410
6209,181782
6209,28485
6209,38480
6209,8213
6209,8875
6209,95579
6210,1120731
6213,1103315
6213,1105764
6213,1106406
6213,1106547
6213,1106966
6213,1107355
6213,1107455
6213,1108329
6213,1109957
6213,1111052
6213,1111230
6213,1111304
6213,1113182
6213,1113459
6213,1113614
6213,1116347
6213,1117760
6213,1117942
6213,1120020
6213,1122425
6213,1123553
6213,1128267
6213,1129096
6213,1129243
6213,1130567
6213,124064
6213,12576
6213,128
6213,13193
6213,134128
6213,1385
6213,13960
6213,153598
6213,161221
6213,17208
6213,193742
6213,195361
6213,20526
6213,20534
6213,218410
6213,23774
6213,241133
6213,28202
6213,28227
6213,28278
6213,28350
6213,28471
6213,28485
6213,293271
6213,299195
6213,299197
6213,353541
6213,35863
6213,38480
6213,399339
6213,55968
6213,58540
6213,595056
6213,6151
6213,6155
6213,6163
6213,6184
6213,6210
6213,6214
6213,6215
6213,6220
6213,6224
6213,628667
6213,628668
6213,628815
6213,7419
6213,755217
6213,91975
6214,1105764
6214,1106172
6214,1109199
6214,1115886
6214,1126029
6214,1130600
6214,1152740
6214,124064
6214,13960
6214,149669
6214,188471
6214,23258
6214,27631
6214,28278
6214,28447
6214,345340
6214,38480
6214,399339
6214,6155
6214,6184
6214,6196
6214,6215
6214,6224
6214,628500
6214,6378
6214,93320
6214,95589
6215,1120170
6215,6224
6216,1113739
6216,1116347
6216,1123553
6216,230300
6216,96847
6216,976334
6220,134128
6220,6163
6220,6224
6224,28387
6224,345340
6224,6163
6346,1106103
6346,1112075
6378,1122425
6378,1129208
6378,28473
6385,1103162
6385,1129243
6385,17476
6385,28473
6385,55968
6385,6378
6385,682666
6385,892139
6539,1102646
6741,1130637
6741,1153160
6741,348437
6741,49895
6741,83725
6741,9708
6814,1117348
6814,1125469
6814,158172
6814,293974
6814,300071
6814,315266
6814,37884
6814,445938
6925,1114526
6925,1118658
6925,57922
6925,57948
6939,1116922
7041,1120880
7419,1105764
7419,1107312
7419,1109581
7419,1113182
7419,1117760
7419,1118245
7419,341188
7430,1153287
7430,95586
7867,1138027
7867,315789
8865,103515
8865,1129570
8865,395075
8865,608292
8865,647408
8865,785678
8865,8875
8872,1104647
8872,1125092
8872,1152761
8872,1153860
8872,197054
8872,229635
8872,395075
8872,8875
8874,1120643
8874,1153816
8874,395075
8874,608292
8874,646809
8874,647447
8874,8875
8875,1129570
8875,1152676
8875,18582
8875,395075
8875,608292
9513,102879
9515,102879
9515,4804
9515,9513
9586,1120138
9586,33818
9708,1130539
9708,1153003
9708,136766
9708,136768
9708,181782
9716,1153262
9716,28674
9716,6539
10174,10186
10177,1112574
10177,12197
10177,12198
10177,12210
10177,124734
10177,15429
10177,164
10177,249858
10177,27606
10177,4804
10177,67415
10177,68495
10177,68505
10177,9515
10183,10186
10183,10430
10183,1108267
10183,1114336
10183,1120713
10183,259772
10183,47570
10183,54550
10183,6378
10186,86840
10430,1120713
10430,3095
10981,1102873
10981,23507
12155,1126350
12158,12199
12158,148399
12165,1107567
12165,1112099
12169,1119471
12169,4637
12169,989397
12182,1059953
12182,1106418
12182,1117249
12182,1118764
12182,1153183
12182,12165
12182,12211
12182,155736
12182,157761
12182,219239
12182,28632
12182,28640
12182,28641
12182,309476
12182,321861
12182,429781
12182,4660
12182,5038
12182,65650
12182,94713
12194,27199
12195,1107319
12195,1107567
12195,1112099
12195,1131611
12195,1132285
12195,12165
12195,38722
12195,51180
12197,111866
12197,1119471
12197,68495
12198,1126350
12198,12158
12198,12199
12198,164
12198,27612
12198,95225
12199,1119471
12199,12247
12210,1112574
12210,12182
12210,4804
12210,57948
12210,6125
12210,67415
12210,77515
12211,12165
12238,101263
12238,1107567
12238,1112099
12238,12165
12247,1119471
12247,148399
12330,107569
12330,1120777
12330,1152490
12330,1153861
12330,156977
12330,213279
12330,395553
12330,400356
12337,1129683
12337,16451
12337,16470
12337,16474
12337,395725
12337,57764
12347,16451
12347,72101
12350,1104007
12350,1107319
12350,1131611
12350,12158
12350,12195
12350,12198
12350,12210
12350,152227
12350,157805
12350,16451
12350,20601
12350,20602
12350,27612
12350,4804
12350,6125
12350,6539
12350,67415
12350,68495
12359,1131634
12359,16451
12576,1071981
12576,1104999
12576,1105221
12576,1107674
12576,1129573
12576,127033
12576,135130
12576,229635
12576,28290
12576,416455
12576,56112
12576,56119
12576,56709
12576,574710
12576,575795
12576,62718
12576,63832
12576,83725
12576,8875
13193,17208
13193,755217
13195,1107312
13195,1120731
13195,755217
13652,13654
13652,13656
13652,83746
13654,1115959
13654,119686
13654,83746
13654,987188
13656,1120431
13658,1115959
13658,1120431
13658,119686
13658,13656
13658,198443
13658,294239
13658,987188
13686,1107355
13686,1120431
13686,1385
13717,1110531
13717,37998
13917,1120020
13966,13960
13972,1126050
13972,20534
13982,34979
14062,1119708
14062,1152358
14062,1152421
14062,1153280
14062,1154459
14062,141347
14062,33907
14062,44368
14062,646836
14062,97390
14062,98693
15429,10177
15429,1104007
15429,1107572
15429,1114526
15429,1153160
15429,12197
15429,12350
15429,175576
15429,210309
15429,217115
15429,219239
15429,35854
15429,41666
15429,57948
15429,77515
15429,89547
15429,9513
15429,9515
15431,35854
15670,12558
15889,1110024
15889,1118388
15889,1152564
15889,1153891
15889,15892
15889,175909
15889,221302
15892,1116146
15892,1118388
16437,16470
16437,16474
16437,395725
16437,430329
16437,51831
16451,118436
16461,1105603
16470,1129621
16471,1104787
16471,1114992
16471,16474
16471,273949
16474,16471
16476,1123087
16476,1129621
16476,12359
16476,16474
16485,1104787
16485,1105603
16485,1109891
16485,1123087
16485,12347
16485,286500
17201,1107140
17201,1118245
17201,1126012
17201,17208
17201,184157
17201,32872
17201,95435
17208,1152633
17208,1153262
17208,184157
17208,32872
17208,95435
17476,1103162
17476,1105033
17476,1122425
17476,1129208
17476,170338
17476,28456
17476,33013
17476,682666
17476,892139
17477,1103162
17488,1103162
18251,1106052
18619,1153091
18619,4660
18774,73146
18777,103537
18777,1112686
18777,116790
18777,173863
18777,18774
18777,33013
18777,345340
18777,445938
18777,510718
18777,73146
18777,94713
18781,1108175
18781,18785
18781,86840
18811,1106401
18811,1112686
18811,20920
18812,20920
18812,510715
18815,20920
18832,1122425
18832,18833
18832,682666
18832,81350
18834,1152740
18834,1152944
18834,18833
19045,593210
19045,593328
19045,593329
19045,87363
19231,1107572
19231,1153736
19231,12960
19231,18619
19231,30934
19231,686061
20178,38829
20178,64271
20178,91853
20179,20178
20179,91852
20179,91853
20179,95188
20180,91853
20180,943
20193,1108597
20193,1116397
20193,1116839
20193,1119180
20193,112813
20193,1130653
20193,1130657
20193,1138091
20193,1152244
20193,1153877
20193,1153879
20193,1153889
20193,3085
20193,30973
20193,395725
20193,5062
20193,566488
20193,566653
20193,566664
20193,91853
20526,1103315
20526,1118092
20528,1103315
20534,1103315
20534,1106966
20534,1107455
20534,1111052
20534,23774
20534,70442
20534,7419
20601,1108167
20601,1118209
20601,1121537
20601,12158
20601,12199
20601,12247
20601,124734
20601,20602
20601,25805
20601,42207
20601,95225
20602,1108167
20602,1121537
20602,12155
20602,12158
20602,12199
20602,12247
20602,20601
20602,42207
20602,95225
20972,1116181
22229,1103383
22229,1107418
22229,1112911
22229,1128369
22229,144701
22229,190697
22229,22241
22229,243483
22229,459216
22229,593105
22229,595193
22241,1103383
22241,1107418
22241,1128369
22241,595193
22386,1107010
22386,1128407
22386,207395
22386,310530
22386,38839
22386,38845
22386,38846
22386,3932
22869,22876
22874,22876
22886,1107367
22886,1120444
22886,28447
23116,1111978
23116,41666
23116,576257
23258,1106052
23258,168410
23258,18251
23507,1109392
23507,13717
23507,152731
23507,217852
23507,93320
23774,1106406
23774,1107455
23774,7432
24530,1109581
25791,28202
25791,45212
25805,1108167
25805,1110028
25805,1121063
25805,385251
27199,148399
27199,248119
27203,1106418
27203,1118209
27203,148399
27246,1110390
27606,111866
27606,124734
27606,249858
27612,1118209
27612,12198
27623,105899
27623,1104182
27623,1126029
27623,27632
27623,28254
27623,686015
27623,686030
27623,686061
27623,75674
27627,105899
27627,116021
27627,18619
27627,23116
27627,27632
27627,28254
27627,686015
27627,686030
27627,686061
27631,20528
27631,28254
27631,55968
27632,28254
28026,5064
28026,5069
28202,1114629
28202,1128267
28202,325497
28227,20526
28227,6169
28230,1108267
28230,1123756
28249,1116347
28249,1129096
28249,628668
28254,105899
28254,1118092
28254,686015
28254,686061
28265,1152436
28265,943
28267,1152896
28278,1107312
28287,1106547
28287,1107355
28287,128540
28287,1385
28287,308529
28287,387795
28287,567005
28287,56709
28290,1104999
28290,1107674
28290,28287
28290,308529
28290,56709
28290,63832
28336,108047
28350,1109957
28350,1113459
28350,1129243
28350,13193
28350,241133
28350,28227
28350,341188
28350,6210
28350,6220
28350,628667
28350,628668
28350,95579
28359,35863
28385,1106112
28385,1125895
28385,118558
28387,1107312
28389,353541
28412,27631
28412,6217
28412,6220
28447,1107367
28447,1120444
28447,194645
28471,91975
28485,168410
28485,23258
28487,1153056
28487,128
28487,206259
28487,8213
28487,95586
28489,13193
28489,6210
28491,1152910
28491,153598
28491,341188
28491,782486
28504,1139928
28504,1153287
28504,365294
28504,7430
28504,95589
28542,124064
28542,206259
28632,32260
28640,1059953
28640,28641
28649,12182
28649,155736
28649,155738
28851,54131
28851,578669
28851,595157
29738,155277
30934,12960
32260,62274
32260,94713
32872,1118245
33231,1132887
33231,158172
33231,293974
33231,300071
33231,315266
33231,445938
33301,1022969
33301,33303
33325,1110256
33325,12960
33325,429781
33818,1120138
33818,1123087
33818,78549
33818,78552
33818,78557
33823,1119004
33823,33818
33823,78549
33823,78552
33823,78557
33895,1103960
33895,1153577
33895,1154176
33895,33904
33895,593813
33895,82087
33904,1103960
33904,1110546
33907,1103960
33907,1134022
33907,1136814
33907,593091
33907,593813
34257,1106771
34257,1111186
34257,1114398
34257,1115456
34257,1116974
34257,1122642
34257,1153003
34257,192870
34257,34263
34257,34266
34257,368605
34257,87482
34257,90655
34263,1122642
34263,87482
34263,90655
34266,1122642
34266,34263
34266,90655
34979,1104007
34979,1106418
34979,13982
35061,1113438
35061,1152761
35061,1153860
35061,144701
35061,210871
35061,22229
35061,240791
35061,263498
35061,45605
35061,48766
35061,503871
35061,682815
35335,168958
35335,35343
35335,59772
35343,1118332
35490,1104031
35490,1116410
35490,64271
35490,95188
35778,1108389
35778,1125469
35778,1919
35778,519318
35778,73146
35852,1035
35852,1113438
35852,41732
35852,486840
35863,134060
35863,20972
35863,28359
36131,1152633
36131,17208
36131,77438
36167,20528
36802,1108389
36802,130
36802,189856
36802,37888
36802,589923
36802,590022
37483,1130539
37483,217852
37483,63931
37884,300071
37888,1108389
37888,1125469
37888,1152633
37888,293974
37888,77438
38205,108047
38205,1128997
38205,1129610
38205,1153942
38205,117316
38205,592975
38205,592986
38205,593060
38205,595056
38205,606647
38205,61069
38480,1104182
38722,1106172
38722,1135746
38722,5038
38722,51180
38722,65650
38722,81350
38829,1107010
38829,1116397
38829,1152244
38839,310530
38845,1107010
38845,1110579
38846,1128407
38846,38845
39403,130
39474,1694
40131,118079
40135,118079
40135,13686
41417,1108329
41417,1113551
41417,128383
41666,943087
41714,1033
41714,1110515
41714,144212
41714,182094
41714,190697
41714,190706
41714,197054
41714,44455
41714,568857
41714,594047
41714,61069
42156,1116594
42156,1118120
42156,1152179
42156,340299
42207,219239
42209,27199
42221,248119
42221,27199
42221,42209
42221,57948
42221,989397
43186,152731
43186,16461
44121,1104435
44368,1128227
44455,1128985
44455,128540
44455,227178
44455,387795
44455,41714
44455,568857
44514,210871
44514,253971
44514,606479
45188,1130929
45188,192734
45188,45189
45188,976284
45189,1105450
45189,1106401
45189,1132385
45189,192734
45189,45188
45189,976284
45212,1105764
45212,120013
45533,1104495
45533,1106771
45533,1115456
45533,1116974
45533,34266
45533,87482
45603,1104647
45603,1125092
45605,1033
45605,1035
45605,1131639
45605,144212
45605,190706
45605,240791
45605,503871
45605,682815
45605,975567
46079,1152569
46079,69284
46452,1153091
46470,1105450
46500,57764
46501,1153275
46501,57764
47570,385067
47839,1124837
48764,1104647
48764,1125092
48766,1104647
48766,595056
48768,1104647
48781,1120643
48781,1134865
48781,397488
48781,423816
49720,49753
49753,49720
50381,62274
50807,1104749
50980,73972
51180,1107319
51180,12195
51180,12350
51180,50381
53942,1117184
53942,56167
54129,108047
54129,1128291
54129,1128319
54129,1136791
54129,117315
54129,117316
54129,17477
54129,28336
54129,578645
54129,578646
54129,578649
54129,578780
54129,593022
54129,594543
54131,1128982
54131,1153897
54131,141324
54131,243483
54131,459213
54131,459214
54131,578780
54131,593859
54131,593942
54131,59715
54131,66563
54132,1117476
54132,1128985
54132,578780
54132,579008
54132,593921
54132,594387
54132,59715
54132,62634
54550,5600
55968,892139
56112,1104999
56112,1107674
56112,127033
56112,56115
56112,56119
56112,63832
56112,83725
56115,1104999
56115,1107674
56115,1129573
56115,127033
56115,135130
56115,56119
56115,62718
56115,63832
56115,69284
56119,1104999
56119,1105221
56119,127033
56119,63832
56167,1117184
56167,1119178
56167,239810
56167,359067
56708,28287
56708,308529
56708,56709
56709,1128959
56709,18834
56709,28287
56709,308529
56709,416455
57119,1129570
57119,1132731
57119,1152676
57119,1153942
57119,28456
57119,592975
57119,592986
57119,593060
57119,595056
57119,606647
57119,647408
57764,711527
57922,1118658
57922,57948
57932,6925
57948,1114526
57948,1118658
57948,57922
58436,1114239
58436,87417
58453,87417
58454,144679
58454,87417
58540,181782
58758,1128204
58758,1128208
58758,1688
58758,33895
58758,576973
58758,69284
59626,124734
59626,217115
59626,249858
59626,6125
59715,96845
59772,35335
61069,1107062
61069,1129610
61069,1153816
61069,28456
61069,975567
61073,975567
61312,1105231
62274,32260
62274,50381
62274,94713
62329,1131565
62329,195792
62329,251756
62329,593155
62329,650834
62634,243483
62718,127033
63835,1110531
63835,95586
63931,136766
63931,136768
63931,13717
63931,6939
64271,1152244
64271,38829
64271,73327
64271,91852
64271,95188
64319,111866
64319,249858
64484,1105394
64519,154134
64519,37483
64519,63835
65650,1105450
65650,1118764
65650,309476
65650,5038
66556,1129778
66556,141324
66556,54131
66556,593859
66556,66563
66563,1123530
66563,96845
66564,141324
66564,593859
66564,593942
66564,66563
66751,1135750
66751,1138043
66751,573535
66751,693143
66751,695284
66805,509315
66805,82090
66809,82090
66990,1117501
66990,1152490
66990,1153861
66990,390889
67415,1110256
67415,1135746
67415,12195
67415,164
67415,171954
67415,38722
67415,51180
69284,206371
69284,69296
69296,206371
70442,1107215
70442,70441
70444,1107215
70444,1108329
70444,128383
70444,70441
70444,70442
70520,27631
70520,36167
70970,1129683
70970,593068
70970,593329
71336,1105718
72056,1135122
72101,1118347
72406,1105764
72805,899085
73146,1108389
73146,116790
73146,18774
73146,35778
73323,1105810
73323,28447
73327,1105810
73327,1106236
73327,1153166
73327,1153724
73327,1153728
73972,50980
74427,1106771
74427,1116974
74427,34257
74427,34266
74427,368605
74427,87482
74749,10186
74749,1113852
74749,2354
74975,1107041
74975,1128407
74975,38845
74975,38846
74975,3932
75674,1109957
75674,686015
77108,1138043
77108,77112
77438,106590
77438,1129994
77438,1152633
77438,1153262
77438,158172
77438,293974
77438,37888
77438,589923
77438,590022
77515,9513
77826,3112
77826,470511
77829,3112
77829,470511
78508,1120138
78511,575402
78511,735303
78511,9586
78552,33818
78552,78511
78552,78557
78552,9586
78555,1120138
78555,33818
78555,78557
78557,1120138
78557,33818
78557,78511
78557,78549
78557,9586
80656,13652
80656,13654
80656,13656
81350,1106172
81350,892139
81714,81722
82090,82087
82098,82087
82664,1106236
82664,3097
82666,101143
82666,1106236
82666,3097
82920,1119708
82920,1125492
82920,1127913
82920,1128198
82920,1129367
82920,1129683
82920,1152358
82920,1152421
82920,1153280
82920,1153943
82920,1154459
82920,259702
82920,273152
82920,307015
82920,35
82920,513189
82920,573978
82920,576691
82920,608326
82920,70970
82920,81714
82920,84021
82920,98698
83449,218682
83449,22869
83449,22874
83725,12576
83725,56112
83725,56115
83725,56119
83725,62718
83746,294239
84021,1106298
84021,1133047
84021,18582
84021,263279
84021,415693
84021,509233
84021,98698
85299,23258
85299,299197
85299,575292
85324,299197
85324,628751
85352,1114331
85352,1127430
85352,1129027
85352,1152421
85352,1153280
85352,1153943
85352,1154459
85352,152483
85352,561238
85352,574462
85352,576691
85352,577086
85352,593091
85352,640617
85352,66556
85352,682815
86258,1106418
86359,1133469
86359,1152740
86359,1152944
86359,18834
87363,593328
87417,1128453
87417,289779
87417,289780
87417,289781
87417,801170
87482,34266
89308,101145
89308,103528
89547,1112319
89547,1116328
89547,1132385
89547,1152379
89547,237376
89547,28471
89547,45188
89547,45189
89547,66805
89547,91975
89547,976284
90470,106590
90470,1129994
90655,1122642
90655,34263
91852,20178
91853,1110579
91853,1116397
91853,1116410
91853,20178
91975,1113459
93273,248119
93273,989397
93318,1126050
93755,175576
94229,1111733
94229,1123087
94639,141324
94639,593105
94639,593813
94639,593859
94639,593942
94639,62634
94641,1102550
94641,1129018
94641,1153897
94641,116553
94641,594387
94641,62634
95188,1110579
95188,1116410
95198,1110579
95225,42207
95586,95589
95588,95579
95594,1153287
95594,7430
95594,95589
95597,95579
95642,1107367
95642,28447
95642,990075
96847,594025
96851,594387
96851,96847
97390,100935
97390,1152358
97390,1153943
97390,33907
97390,98693
97645,33907
97645,593091
98693,1152358
98693,575331
98698,84021
100701,1107041
100935,1120643
100935,1134865
101143,101145
101143,596075
101261,101263
101263,1112099
101263,1139928
101263,28456
102061,509315
102879,9513
102884,9513
102938,143676
102939,102938
102939,143676
103515,1113742
103515,1127913
103515,1128314
103515,1129778
103515,1153853
103515,246618
103515,459214
103515,54131
103515,575402
103528,103529
103528,1107171
103529,1107171
103531,1107171
103531,656048
103537,126912
105899,1111304
106590,1129994
107569,1107385
107569,1120777
108047,1107418
108047,1128319
108047,1153853
108047,1153899
108047,28336
108047,578645
108047,578646
108047,578649
108047,578898
110041,1152358
110041,287787
110162,110163
110162,110164
110163,110162
110163,110164
111676,89308
111770,1119623
111866,249858
112787,1120444
114308,63835
115188,1107728
116021,12960
116512,1107808
116545,1128291
116545,1128319
116545,116553
116545,246618
116545,578645
116545,578649
116552,116553
116552,246618
116553,246618
116790,345340
117315,28336
117316,117315
117328,1115166
117328,38829
117328,91852
117328,95188
118259,118260
118259,230300
118260,230300
118424,118436
118435,118436
118873,1109566
118873,1115959
118873,987188
119686,198443
119686,987188
121792,1152394
124064,6163
124064,6220
124064,6224
124734,1108167
124734,25805
124952,1119742
124952,1123756
124952,1126011
124952,1126012
124952,189721
126867,1108258
126868,1108258
126868,126867
126912,66990
127033,1108267
127033,416455
127033,574710
127940,1114364
127940,243274
128203,128202
128383,1108329
128540,387795
129042,1108363
129042,1121313
129042,129045
129045,1108363
129045,1121313
132806,45599
132806,48766
132806,593260
132821,695284
133550,1109891
133550,133566
133550,140569
133566,1152714
133567,1152714
133567,133566
133628,1108570
134060,481073
134128,1113182
134128,1113614
134128,1117760
134199,1114331
134199,164885
134199,447224
134219,1112075
134219,447224
134219,503893
134219,81714
135130,1105221
135130,416455
135130,574710
136665,23258
136766,348437
136767,136766
136767,348437
136768,136766
137790,10186
137790,1113852
137790,128203
137790,2354
137790,74749
140005,86840
141324,1113438
141324,503877
141342,1119708
141342,35061
141342,40
141342,575292
141342,608191
141342,70970
141342,78511
141347,1119708
143323,1130539
143323,154134
143323,217139
143323,3084
143323,84021
143476,1112686
143676,102938
144212,1131549
144679,1114239
144701,1112911
144701,1128975
144701,1128997
144701,1136342
144701,22229
144701,595063
145315,294126
145315,649944
145384,1153287
145384,7430
145384,95589
148170,1109199
148170,1128997
148341,1109208
148341,1131116
149139,1123215
149669,589923
152226,1102400
152227,1139928
152227,152226
152227,987197
152483,583318
152483,593091
152731,1109392
152731,23507
153598,1113459
154023,1112106
154023,1133846
154023,154047
154047,1112106
154047,1133846
154047,154023
155736,155738
155738,155736
155738,157761
156794,1109581
156977,1152490
156977,1153861
156977,390889
156977,395547
157761,219239
157805,6539
158172,445938
161221,1153922
164885,447224
166825,1110024
166825,1118388
166989,1110028
166989,1121063
166989,25805
168332,86359
170798,656231
171954,1110256
171954,1135750
171954,1138755
171954,820662
173863,116790
175256,1120643
175256,1133196
175256,682815
175909,112787
175909,1153891
175909,221302
177115,5069
177993,1110515
177998,1110515
177998,583318
178718,1110546
178718,69296
178727,1110546
180301,1110628
182093,197054
182094,1131550
182094,197054
182094,650814
184157,95435
187260,1110950
188471,628500
189566,1153014
189566,189856
189566,36802
189566,90470
189708,149669
189721,1129518
189856,1129518
189856,1129994
190698,1114502
190698,190697
190698,198443
190706,144212
190706,182094
192870,1111186
192870,1114398
193742,1111230
193742,6152
194645,248823
195361,1111304
195792,1128974
195792,19045
195792,377303
195792,593210
195792,682815
197054,1125092
198443,190697
198653,1113551
198653,1130539
198653,1152896
198653,3084
198653,887
198866,1153728
198866,73327
205196,1112929
205196,1130568
205196,1130586
205196,628751
205196,628764
205196,628766
205196,815096
205196,950986
206371,69296
210309,1111978
210871,1117476
210871,1128151
210871,1129629
210871,198653
210871,273152
210871,35
210871,38205
210871,568857
210871,575077
210871,595157
210871,59715
210871,81714
210871,887
210872,1129610
210872,210871
210872,273152
210872,35
210872,593260
210872,606479
212097,1112071
212107,1112071
213246,1122642
213246,34263
216877,1117618
216877,334153
216878,1117618
216878,334153
216878,711527
217115,1112319
217139,154134
218410,1152663
218410,134128
218682,22874
219239,12247
219239,157761
219976,1116410
220420,1128227
221302,1153891
227178,1114502
227178,1128946
227178,1128985
227178,593240
227178,96847
228990,228992
230300,118260
231249,1125492
231249,1127913
232860,1113084
238401,1125386
239810,359067
240791,1113438
240791,45605
